name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A
Amon Kevin,AUT,36.0,5.902,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.902,6.009
TANII Kazuki,JPN,37.0,5.905,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.905,5.979
Plangger Tobias,AUT,38.0,5.98,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,5.988,DNF
Stokes Rafe,GBR,39.0,5.99,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.119,5.998
YASUKAWA Jun,JPN,40.0,6.011,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.166,6.011
IKEDA Yudai,JPN,41.0,6.012,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.146,6.012
KANG Minsu,KOR,42.0,6.080,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.08,DNF
Payet Gaboriaud Marius,FRA,43.0,6.084,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.097,6.084
Kriz Jan,CZE,44.0,6.14,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.146,9.971
Pitcher Ethan,CAN,45.0,6.20,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.403,6.207
Le Dylan,CAN,46.0,6.22,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.407,6.221
Murat Alisher,KAZ,47.0,6.27,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,7.666,6.276
SHIN Euncheol,KOR,48.0,6.28,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.798,6.28
Cancel Gabriel,ECU,49.0,6.30,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,7.843,6.303
Bruyns Joshua,RSA,50.0,6.41 (AfR),IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.827,6.412
Skolnik Darren,USA,51.0,6.48,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.487,6.962
O'Francia Quinn,USA,52.0,6.62,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,6.621,DNF
INTRACHUPONGSE ARDCH,THA,53.0,6.83,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,8.471,6.834
Homan Evan,USA,54.0,6.95,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,7.579,6.951
Whitney Jack,CAN,55.0,7.10,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,7.523,7.105
Goddard Aidan,USA,56.0,7.39,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,7.399,8.458
UEGAKI Ginta,JPN,57.0,7.53,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,7.533,7.584
Alencaster Andrés,MEX,58.0,7.78,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,8.398,7.78
Kim Joey,USA,59.0,7.79,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,7.796,DNF
Hammer Zach,USA,60.0,7.93,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,DNF,7.933
Lucke Sebastian,GER,61.0,8.01,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,8.013,DNF
LEE Seungbeom,KOR,62.0,FALL,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,DNF,DNF
Jankhoteli Giga,GEO,63.0,FALSE START,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,DNS,
Japaridze Giorgi,GEO,63.0,FALSE START,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,DNS,
Zodda Gian Luca,ITA,,DNS,IFSC World Cup Salt Lake City 2023,1294,2023,Salt Lake City,Speed,Men,Qualification,2023-05-19,/api/v1/category_rounds/7679/results,/api/v1/events/1294/result/2,,
