name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Shalagina Olga,UKR,35,29+ 30. | 31+ 33. [34.50],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,29+,31+,2012-07-20_Briançon_Lead_Women_Qualification.csv
Ostapenko Olena,UKR,36,29+ 30. | 29+ 38. [36.45],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,29+,29+,2012-07-20_Briançon_Lead_Women_Qualification.csv
Tiripa Ana,GER,36,29+ 30. | 29+ 38. [36.45],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,29+,29+,2012-07-20_Briançon_Lead_Women_Qualification.csv
Golovina Alexandra,RUS,38,29+ 30. | 28+ 41. [38.07],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,29+,28+,2012-07-20_Briançon_Lead_Women_Qualification.csv
Svobodova Tereza,CZE,38,25 42. | 31+ 33. [38.07],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,25,31+,2012-07-20_Briançon_Lead_Women_Qualification.csv
Hafsaas Tina Johnsen,NOR,40,32+ 27. | 13+ 52. [38.34],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,32+,13+,2012-07-20_Briançon_Lead_Women_Qualification.csv
Traber Stephanie,FRA,41,29+ 30. | 18 46. [39.84],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,29+,18,2012-07-20_Briançon_Lead_Women_Qualification.csv
Choong Katherine,SUI,42,25+ 40. | 29 40. [40.25],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,25+,29,2012-07-20_Briançon_Lead_Women_Qualification.csv
Rohner Amanda,SUI,43,25+ 40. | 23+ 44. [42.21],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,25+,23+,2012-07-20_Briançon_Lead_Women_Qualification.csv
Baehr Hannah,GER,44,16 54. | 31+ 33. [43.16],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,16,31+,2012-07-20_Briançon_Lead_Women_Qualification.csv
Savchenko Ganna,UKR,45,24+ 44. | 28+ 41. [43.47],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,24+,28+,2012-07-20_Briançon_Lead_Women_Qualification.csv
Wu Jacquelyn,USA,45,24+ 44. | 28+ 41. [43.47],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,24+,28+,2012-07-20_Briançon_Lead_Women_Qualification.csv
Modrzejewska Agata,POL,47,24+ 44. | 15 47. [46.23],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,24+,15,2012-07-20_Briançon_Lead_Women_Qualification.csv
Pidgeon Thomasina,CAN,47,22+ 47. | 21+ 45. [46.23],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,22+,21+,2012-07-20_Briançon_Lead_Women_Qualification.csv
Faille Camille,FRA,49,22+ 47. | 14+ 49. [48.24],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,22+,14+,2012-07-20_Briançon_Lead_Women_Qualification.csv
Fergeau Celine,FRA,50,19+ 52. | 15 47. [49.70],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,19+,15,2012-07-20_Briançon_Lead_Women_Qualification.csv
Maldonado Claudia,MEX,51,21 50. | 14 50. [50.50],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,21,14,2012-07-20_Briançon_Lead_Women_Qualification.csv
Tracy Michaela,GBR,51,21 50. | 14 50. [50.50],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,21,14,2012-07-20_Briançon_Lead_Women_Qualification.csv
Kelleway Maegan,CAN,53,21+ 49. | 13 54. [51.44],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,21+,13,2012-07-20_Briançon_Lead_Women_Qualification.csv
Stewart-Patterson Alison,CAN,54,17+ 53. | 13+ 52. [52.75],IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,733,2012,Briançon,Lead,Women,Qualification,2012-07-20,/api/v1/category_rounds/2085/results,/api/v1/events/733/result/5,17+,13+,2012-07-20_Briançon_Lead_Women_Qualification.csv
